district,crop_name,disease_name,risk_level,reported_cases,date,recommended_action
Nellore,Sugarcane,Smut,Medium,80,2025-09-11,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Dharwad,Sugarcane,Smut,Low,19,2025-09-12,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Coimbatore,Cotton,Boll Rot,Critical,158,2025-09-12,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Anantapur,Rice,Brown Plant Hopper (BPH),Low,7,2025-09-13,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Mahbubnagar,Rice,Bacterial Leaf Blight,High,231,2025-09-14,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Nalgonda,Rice,Brown Plant Hopper (BPH),Medium,46,2025-09-14,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Nalgonda,Rice,Brown Plant Hopper (BPH),Medium,101,2025-09-17,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Tumakuru,Maize,Turcicum Leaf Blight,Critical,221,2025-09-17,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Nellore,Maize,Fall Armyworm,Low,6,2025-09-20,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Nalgonda,Rice,Bacterial Leaf Blight,Medium,134,2025-09-23,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Karimnagar,Rice,Blast Disease,High,122,2025-09-24,Spray Tricyclazole 75 WP @ 0.6 g/L; avoid excess nitrogen application.
Mandya,Sugarcane,Smut,Critical,182,2025-09-25,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Kurnool,Sugarcane,Sugarcane Aphids,Low,13,2025-09-26,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Mandya,Sugarcane,Smut,Low,20,2025-09-26,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Dharwad,Groundnut,Tikka Leaf Spot,Medium,113,2025-10-05,Spray Carbendazim @ 1 g/L + Mancozeb @ 2 g/L or Hexaconazole @ 1 mL/L.
Madurai,Maize,Fall Armyworm,Low,5,2025-10-05,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Thanjavur,Groundnut,Red Hairy Caterpillar,Critical,72,2025-10-12,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Belagavi,Maize,Fall Armyworm,Low,7,2025-10-13,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Guntur,Sugarcane,Red Rot,Medium,87,2025-10-16,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Cuddalore,Sugarcane,Sugarcane Aphids,Low,7,2025-10-17,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Mahbubnagar,Sugarcane,Red Rot,Medium,30,2025-10-19,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Anantapur,Groundnut,Bud Necrosis,Low,9,2025-10-21,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Shimoga,Groundnut,Red Hairy Caterpillar,Low,11,2025-10-22,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Erode,Cotton,Pink Bollworm,Medium,30,2025-10-23,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Karimnagar,Maize,Fall Armyworm,Low,9,2025-10-26,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Tumakuru,Rice,Bacterial Leaf Blight,Medium,149,2025-10-27,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Mandya,Cotton,Whitefly,Low,12,2025-10-31,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Guntur,Maize,Turcicum Leaf Blight,Critical,123,2025-11-01,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Guntur,Wheat,Stem Rust,Medium,58,2025-11-02,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Mahbubnagar,Cotton,Pink Bollworm,Low,31,2025-11-02,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Nizamabad,Wheat,Leaf Blight,Medium,33,2025-11-04,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Guntur,Maize,Turcicum Leaf Blight,Low,6,2025-11-05,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Tumakuru,Wheat,Leaf Blight,Medium,78,2025-11-06,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Karimnagar,Rice,Brown Plant Hopper (BPH),Medium,29,2025-11-08,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Cuddalore,Maize,Fall Armyworm,Low,3,2025-11-11,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Tumakuru,Wheat,Stem Rust,Low,24,2025-11-12,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Karimnagar,Groundnut,Red Hairy Caterpillar,Critical,107,2025-11-14,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Belagavi,Sugarcane,Sugarcane Aphids,Medium,39,2025-11-15,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Madurai,Wheat,Leaf Blight,Medium,113,2025-11-16,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Coimbatore,Sugarcane,Smut,Medium,81,2025-11-16,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Nizamabad,Sugarcane,Sugarcane Aphids,Medium,15,2025-11-16,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Thanjavur,Wheat,Stem Rust,Medium,93,2025-11-17,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Cuddalore,Cotton,Whitefly,Medium,30,2025-11-18,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Nizamabad,Maize,Fall Armyworm,Medium,24,2025-11-18,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Guntur,Cotton,Pink Bollworm,Medium,115,2025-11-19,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Cuddalore,Groundnut,Bud Necrosis,Medium,23,2025-11-19,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Thanjavur,Sugarcane,Red Rot,High,81,2025-11-21,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Belagavi,Wheat,Leaf Blight,Critical,147,2025-11-23,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Chittoor,Maize,Turcicum Leaf Blight,Medium,81,2025-11-24,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Nalgonda,Maize,Fall Armyworm,Low,9,2025-11-26,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Shimoga,Maize,Turcicum Leaf Blight,Low,21,2025-11-26,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Mandya,Wheat,Stem Rust,Medium,116,2025-11-26,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Chittoor,Sugarcane,Smut,Medium,89,2025-11-26,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Nalgonda,Cotton,Whitefly,Low,11,2025-11-27,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Erode,Sugarcane,Sugarcane Aphids,Low,6,2025-11-27,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Nellore,Cotton,Pink Bollworm,Medium,56,2025-11-30,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Mahbubnagar,Cotton,Boll Rot,Low,4,2025-12-02,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Madurai,Groundnut,Bud Necrosis,Medium,243,2025-12-03,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Guntur,Wheat,Leaf Blight,Critical,161,2025-12-04,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Shimoga,Wheat,Leaf Blight,Critical,203,2025-12-04,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Khammam,Groundnut,Bud Necrosis,Medium,258,2025-12-04,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Belagavi,Maize,Turcicum Leaf Blight,High,32,2025-12-05,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Shimoga,Rice,Blast Disease,Low,8,2025-12-06,Spray Tricyclazole 75 WP @ 0.6 g/L; avoid excess nitrogen application.
Dharwad,Wheat,Stem Rust,Medium,20,2025-12-06,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Nizamabad,Wheat,Stem Rust,High,87,2025-12-06,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Nellore,Groundnut,Bud Necrosis,High,289,2025-12-08,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Chittoor,Wheat,Stem Rust,Low,19,2025-12-10,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Thanjavur,Wheat,Stem Rust,Low,5,2025-12-10,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Chittoor,Wheat,Leaf Blight,Low,26,2025-12-10,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Belagavi,Cotton,Whitefly,High,147,2025-12-10,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Mandya,Cotton,Whitefly,Medium,72,2025-12-12,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Nellore,Cotton,Pink Bollworm,Medium,108,2025-12-16,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Dharwad,Sugarcane,Sugarcane Aphids,Critical,456,2025-12-16,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Cuddalore,Maize,Fall Armyworm,High,136,2025-12-19,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Kurnool,Groundnut,Tikka Leaf Spot,Low,1,2025-12-19,Spray Carbendazim @ 1 g/L + Mancozeb @ 2 g/L or Hexaconazole @ 1 mL/L.
Anantapur,Sugarcane,Smut,High,48,2025-12-20,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Tumakuru,Cotton,Whitefly,Medium,87,2025-12-23,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Belagavi,Wheat,Stem Rust,Low,8,2025-12-24,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Mahbubnagar,Sugarcane,Sugarcane Aphids,High,258,2025-12-27,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Nalgonda,Rice,Brown Plant Hopper (BPH),Critical,153,2025-12-29,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Mahbubnagar,Sugarcane,Smut,High,69,2025-12-31,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Madurai,Sugarcane,Red Rot,Medium,27,2026-01-01,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Kurnool,Sugarcane,Red Rot,Low,18,2026-01-01,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Coimbatore,Groundnut,Red Hairy Caterpillar,Low,9,2026-01-01,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Nalgonda,Groundnut,Red Hairy Caterpillar,Low,33,2026-01-04,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Anantapur,Groundnut,Tikka Leaf Spot,Low,3,2026-01-04,Spray Carbendazim @ 1 g/L + Mancozeb @ 2 g/L or Hexaconazole @ 1 mL/L.
Thanjavur,Maize,Fall Armyworm,High,114,2026-01-06,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Mahbubnagar,Sugarcane,Smut,High,41,2026-01-08,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Karimnagar,Sugarcane,Red Rot,Critical,201,2026-01-12,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Coimbatore,Rice,Brown Plant Hopper (BPH),Medium,58,2026-01-13,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Nizamabad,Wheat,Leaf Blight,Medium,84,2026-01-15,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Mandya,Sugarcane,Smut,Medium,85,2026-01-15,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Coimbatore,Sugarcane,Sugarcane Aphids,High,53,2026-01-17,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Guntur,Maize,Fall Armyworm,Medium,84,2026-01-17,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Mahbubnagar,Rice,Brown Plant Hopper (BPH),High,52,2026-01-24,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Erode,Groundnut,Bud Necrosis,Medium,287,2026-01-27,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Mandya,Sugarcane,Red Rot,Medium,87,2026-01-30,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Shimoga,Sugarcane,Sugarcane Aphids,High,115,2026-02-03,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Chittoor,Groundnut,Red Hairy Caterpillar,High,97,2026-02-06,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Mandya,Sugarcane,Red Rot,Medium,94,2026-02-10,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Cuddalore,Maize,Fall Armyworm,High,268,2026-02-10,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Tumakuru,Sugarcane,Smut,Low,35,2026-02-10,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Nellore,Rice,Blast Disease,Medium,21,2026-02-13,Spray Tricyclazole 75 WP @ 0.6 g/L; avoid excess nitrogen application.
Shimoga,Rice,Bacterial Leaf Blight,Low,8,2026-02-15,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Shimoga,Groundnut,Tikka Leaf Spot,Medium,30,2026-02-15,Spray Carbendazim @ 1 g/L + Mancozeb @ 2 g/L or Hexaconazole @ 1 mL/L.
Belagavi,Wheat,Leaf Blight,High,73,2026-02-17,Spray Mancozeb @ 2.5 g/L at early appearance of symptoms.
Cuddalore,Maize,Turcicum Leaf Blight,Critical,182,2026-02-19,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Thanjavur,Sugarcane,Sugarcane Aphids,High,249,2026-02-22,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Shimoga,Maize,Fall Armyworm,High,83,2026-02-23,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Cuddalore,Wheat,Stem Rust,Low,24,2026-02-24,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Karimnagar,Wheat,Stem Rust,Low,21,2026-02-25,Spray Propiconazole 25 EC @ 1 mL/L; cultivate rust-resistant varieties.
Erode,Cotton,Whitefly,Medium,134,2026-02-25,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Thanjavur,Rice,Bacterial Leaf Blight,Medium,32,2026-02-26,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Tumakuru,Groundnut,Red Hairy Caterpillar,Medium,46,2026-02-28,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Karimnagar,Cotton,Pink Bollworm,Medium,74,2026-03-01,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Anantapur,Maize,Fall Armyworm,Critical,267,2026-03-04,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Kurnool,Cotton,Whitefly,High,242,2026-03-04,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Nizamabad,Maize,Turcicum Leaf Blight,Low,28,2026-03-04,Spray Mancozeb 75 WP @ 2.5 g/L or Azoxystrobin @ 1 mL/L.
Thanjavur,Sugarcane,Red Rot,Low,10,2026-03-04,Uproot and burn infected clumps; drench soil with Carbendazim 50 WP @ 1 g/L; use disease-free setts.
Coimbatore,Groundnut,Bud Necrosis,Critical,149,2026-03-05,Intercrop with Pearl Millet; spray Imidacloprid 17.8% SL @ 0.3 mL/L to control Thrips vector.
Kurnool,Maize,Fall Armyworm,High,230,2026-03-05,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Dharwad,Rice,Blast Disease,Low,3,2026-03-10,Spray Tricyclazole 75 WP @ 0.6 g/L; avoid excess nitrogen application.
Khammam,Rice,Brown Plant Hopper (BPH),Medium,16,2026-03-11,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Coimbatore,Maize,Fall Armyworm,Medium,52,2026-03-14,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Karimnagar,Cotton,Boll Rot,Low,6,2026-03-17,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Khammam,Rice,Brown Plant Hopper (BPH),Low,24,2026-03-17,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Mahbubnagar,Cotton,Pink Bollworm,Critical,162,2026-03-20,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Madurai,Groundnut,Red Hairy Caterpillar,Medium,85,2026-03-22,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Belagavi,Rice,Bacterial Leaf Blight,Low,2,2026-03-23,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Karimnagar,Sugarcane,Smut,Low,21,2026-03-24,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Guntur,Maize,Fall Armyworm,Medium,172,2026-03-26,Erect bird perches @ 10/acre; spray Chlorantraniliprole 18.5% SC @ 0.4 mL/L at early larval stages.
Chittoor,Groundnut,Red Hairy Caterpillar,Medium,76,2026-03-31,Deep summer ploughing; set up light traps; spray Quinalphos 25 EC @ 2 mL/L.
Cuddalore,Rice,Bacterial Leaf Blight,Low,9,2026-04-01,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Nizamabad,Rice,Brown Plant Hopper (BPH),Medium,75,2026-04-04,Apply Buprofezin 25% SC @ 1.6 mL/L; open alleys in the field for aeration.
Cuddalore,Sugarcane,Smut,High,67,2026-04-05,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Madurai,Sugarcane,Sugarcane Aphids,High,187,2026-04-09,Release Chrysoperla predators; spray Dimethoate 30 EC @ 2 mL/L if severe.
Mandya,Cotton,Whitefly,High,91,2026-04-12,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Coimbatore,Cotton,Pink Bollworm,Medium,78,2026-04-13,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Karimnagar,Sugarcane,Smut,High,27,2026-04-16,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Karimnagar,Cotton,Whitefly,High,222,2026-04-16,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Guntur,Groundnut,Tikka Leaf Spot,Low,2,2026-04-17,Spray Carbendazim @ 1 g/L + Mancozeb @ 2 g/L or Hexaconazole @ 1 mL/L.
Guntur,Cotton,Whitefly,Critical,399,2026-04-17,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Thanjavur,Cotton,Boll Rot,Low,2,2026-04-17,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Tumakuru,Sugarcane,Smut,Medium,20,2026-04-18,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
Guntur,Cotton,Boll Rot,Low,7,2026-04-19,Spray Copper Oxychloride @ 2.5 g/L + Streptocycline @ 0.1 g/L; manage crop density.
Belagavi,Cotton,Pink Bollworm,Critical,206,2026-04-19,Deploy Pheromone traps @ 5/acre; spray Profenofos 50 EC @ 2 mL/L if ETL crossed.
Coimbatore,Rice,Bacterial Leaf Blight,Low,2,2026-04-19,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Chittoor,Rice,Bacterial Leaf Blight,Low,1,2026-04-21,Spray Streptocycline @ 0.1 g/L + Copper Oxychloride @ 2 g/L; drain excess water.
Nellore,Cotton,Whitefly,High,133,2026-04-24,Spray Neem oil 1500 ppm @ 5 mL/L or Triazophos 40 EC @ 2 mL/L; avoid synthetic pyrethroids.
Mahbubnagar,Sugarcane,Smut,Medium,49,2026-04-25,Remove smut whips carefully in a cloth bag and burn; spray Propiconazole @ 1 mL/L.
